old_url,new_url,file_path,filename
https://community.lansweeper.com/t5/actions/configure-google-chrome-to-run-actions/ta-p/64275,/docs/configure-google-chrome-to-run-actions,Actions\Configure Google Chrome to run actions.md,Configure Google Chrome to run actions.md
https://community.lansweeper.com/t5/actions/configure-microsoft-edge-to-run-actions/ta-p/64561,/docs/configure-microsoft-edge-to-run-actions,Actions\Configure Microsoft Edge to run actions.md,Configure Microsoft Edge to run actions.md
https://community.lansweeper.com/t5/actions/configure-mozilla-firefox-to-run-actions/ta-p/64264,/docs/configure-mozilla-firefox-to-run-actions,Actions\Configure Mozilla Firefox to run actions.md,Configure Mozilla Firefox to run actions.md
https://community.lansweeper.com/t5/actions/configure-opera-to-run-actions/ta-p/64562,/docs/configure-opera-to-run-actions,Actions\Configure Opera to run actions.md,Configure Opera to run actions.md
https://community.lansweeper.com/t5/actions/create-and-run-actions/ta-p/64447,/docs/create-and-run-actions,Actions\Create and run actions.md,Create and run actions.md
https://community.lansweeper.com/t5/actions/run-actions-as-a-different-user/ta-p/64404,/docs/run-actions-as-a-different-user,Actions\Run actions as a different user.md,Run actions as a different user.md
https://community.lansweeper.com/t5/billing-related-questions/assets-that-count-toward-your-licensed-asset-limit/ta-p/64377,/docs/assets-that-count-toward-your-licensed-asset-limit,Billing Related Questions\Assets that count toward your licensed asset limit.md,Assets that count toward your licensed asset limit.md
https://community.lansweeper.com/t5/billing-related-questions/disable-pay-as-you-go-payg/ta-p/85649,/docs/disable-pay-as-you-go-payg,Billing Related Questions\Disable Pay-As-You-Go (PAYG).md,Disable Pay-As-You-Go (PAYG).md
https://community.lansweeper.com/t5/billing-related-questions/find-your-case-number/ta-p/64511,/docs/find-your-case-number,Billing Related Questions\Find your case number.md,Find your case number.md
https://community.lansweeper.com/t5/billing-related-questions/freeware-and-trial-limitations/ta-p/64374,/docs/freeware-and-trial-limitations,Billing Related Questions\Freeware and trial limitations.md,Freeware and trial limitations.md
https://community.lansweeper.com/t5/billing-related-questions/manage-helpdesk-agents/ta-p/64416,/docs/manage-helpdesk-agents,Billing Related Questions\Manage helpdesk agents.md,Manage helpdesk agents.md
https://community.lansweeper.com/t5/billing-related-questions/register-lansweeper-as-a-vendor-if-you-re-located-in-the-united-states/ta-p/72601,/docs/register-lansweeper-as-a-vendor-if-youre-located-in-the-united-states,Billing Related Questions\Register Lansweeper as a vendor if you're located in the United States.md,Register Lansweeper as a vendor if you're located in the United States.md
https://community.lansweeper.com/t5/billing-related-questions/register-lansweeper-as-a-vendor-if-you-re-located-outside-of-the-united/ta-p/72659,/docs/register-lansweeper-as-a-vendor-if-youre-located-outside-of-the-united-states,Billing Related Questions\Register Lansweeper as a vendor if you're located outside of the United States.md,Register Lansweeper as a vendor if you're located outside of the United States.md
https://community.lansweeper.com/t5/billing-related-questions/renew-your-lansweeper-subscription/ta-p/64290,/docs/renew-your-lansweeper-subscription,Billing Related Questions\Renew your Lansweeper subscription.md,Renew your Lansweeper subscription.md
https://community.lansweeper.com/t5/billing-related-questions/request-a-lansweeper-price-quote/ta-p/64292,/docs/request-a-lansweeper-price-quote,Billing Related Questions\Request a Lansweeper price quote.md,Request a Lansweeper price quote.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/choose-the-helpdesk-language/ta-p/64409,/docs/choose-the-helpdesk-language,Configuring Using The Helpdesk\Choose the helpdesk language.md,Choose the helpdesk language.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/configure-and-use-ticket-filters/ta-p/64446,/docs/configure-and-use-ticket-filters,Configuring Using The Helpdesk\Configure and use ticket filters.md,Configure and use ticket filters.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/configure-service-level-agreements/ta-p/64394,/docs/configure-service-level-agreements,Configuring Using The Helpdesk\Configure service-level agreements.md,Configure service-level agreements.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/configure-ticket-types-states-and-priorities/ta-p/64393,/docs/configure-ticket-types-states-and-priorities,"Configuring Using The Helpdesk\Configure ticket types, states and priorities.md","Configure ticket types, states and priorities.md"
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/configure-use-and-create-articles-in-the-knowledge-base/ta-p/64419,/docs/configure-use-and-create-articles-in-the-knowledge-base,"Configuring Using The Helpdesk\Configure, use and create articles in the knowledge base.md","Configure, use and create articles in the knowledge base.md"
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/create-and-add-custom-fields-to-ticket-types/ta-p/64395,/docs/create-and-add-custom-fields-to-ticket-types,Configuring Using The Helpdesk\Create and add custom fields to ticket types.md,Create and add custom fields to ticket types.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/create-ticket-templates/ta-p/64410,/docs/create-ticket-templates,Configuring Using The Helpdesk\Create ticket templates.md,Create ticket templates.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/delete-tickets-from-the-helpdesk/ta-p/64412,/docs/delete-tickets-from-the-helpdesk,Configuring Using The Helpdesk\Delete tickets from the helpdesk.md,Delete tickets from the helpdesk.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/hide-the-helpdesk-menu/ta-p/64411,/docs/hide-the-helpdesk-menu,Configuring Using The Helpdesk\Hide the Helpdesk menu.md,Hide the Helpdesk menu.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/introduction-to-the-help-desk/ta-p/64390,/docs/introduction-to-the-help-desk,Configuring Using The Helpdesk\Introduction to the help desk.md,Introduction to the help desk.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/perform-actions-on-new-tickets-using-dispatching-rules/ta-p/64458,/docs/perform-actions-on-new-tickets-using-dispatching-rules,Configuring Using The Helpdesk\Perform actions on new tickets using dispatching rules.md,Perform actions on new tickets using dispatching rules.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/receive-tickets-through-the-web-console-email-api-import/ta-p/64392,/docs/receive-tickets-through-the-web-console-email-api-import,"Configuring Using The Helpdesk\Receive tickets through the web console, email, API, import.md","Receive tickets through the web console, email, API, import.md"
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/reset-the-ticket-id-counter/ta-p/64406,/docs/reset-the-ticket-id-counter,Configuring Using The Helpdesk\Reset the ticket ID counter.md,Reset the ticket ID counter.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/resolve-ticket-attachment-issues/ta-p/64502,/docs/resolve-ticket-attachment-issues,Configuring Using The Helpdesk\Resolve ticket attachment issues.md,Resolve ticket attachment issues.md
https://community.lansweeper.com/t5/configuring-using-the-helpdesk/share-information-with-the-news-widget/ta-p/64356,/docs/share-information-with-the-news-widget,Configuring Using The Helpdesk\Share information with the News widget.md,Share information with the News widget.md
https://community.lansweeper.com/t5/customizing-the-web-console/automatically-logging-in-with-the-built-in-admin/ta-p/64417,/docs/automatically-logging-in-with-the-built-in-admin,Customizing The Web Console\Automatically logging in with the built-in admin.md,Automatically logging in with the built-in admin.md
https://community.lansweeper.com/t5/customizing-the-web-console/change-the-web-console-ports-under-iis-express/ta-p/64299,/docs/change-the-web-console-ports-under-iis-express,Customizing The Web Console\Change the web console ports under IIS Express.md,Change the web console ports under IIS Express.md
https://community.lansweeper.com/t5/customizing-the-web-console/configure-ssl-in-iis-express/ta-p/64298,/docs/configure-ssl-in-iis-express,Customizing The Web Console\Configure SSL in IIS Express.md,Configure SSL in IIS Express.md
https://community.lansweeper.com/t5/customizing-the-web-console/configure-ssl-in-iis/ta-p/64560,/docs/configure-ssl-in-iis,Customizing The Web Console\Configure SSL in IIS.md,Configure SSL in IIS.md
https://community.lansweeper.com/t5/customizing-the-web-console/create-custom-widgets/ta-p/64297,/docs/create-custom-widgets,Customizing The Web Console\Create custom widgets.md,Create custom widgets.md
https://community.lansweeper.com/t5/customizing-the-web-console/enable-authentication-in-iis-express/ta-p/64278,/docs/enable-authentication-in-iis-express,Customizing The Web Console\Enable authentication in IIS Express.md,Enable authentication in IIS Express.md
https://community.lansweeper.com/t5/customizing-the-web-console/enable-authentication-in-iis/ta-p/64279,/docs/enable-authentication-in-iis,Customizing The Web Console\Enable authentication in IIS.md,Enable authentication in IIS.md
https://community.lansweeper.com/t5/customizing-the-web-console/lansweeper-metrics-and-notification-system/ta-p/64498,/docs/lansweeper-metrics-and-notification-system,Customizing The Web Console\Lansweeper metrics and notification system.md,Lansweeper metrics and notification system.md
https://community.lansweeper.com/t5/customizing-the-web-console/list-of-currency-culture-codes/ta-p/64431,/docs/list-of-currency-culture-codes,Customizing The Web Console\List of currency culture codes.md,List of currency culture codes.md
https://community.lansweeper.com/t5/customizing-the-web-console/manage-web-browser-login-prompts/ta-p/64362,/docs/manage-web-browser-login-prompts,Customizing The Web Console\Manage web browser login prompts.md,Manage web browser login prompts.md
https://community.lansweeper.com/t5/customizing-the-web-console/managing-the-built-in-admin-account/ta-p/64557,/docs/managing-the-built-in-admin-account,Customizing The Web Console\Managing the built-in admin account.md,Managing the built-in admin account.md
https://community.lansweeper.com/t5/customizing-the-web-console/restrict-access-to-the-web-console/ta-p/64262,/docs/restrict-access-to-the-web-console,Customizing The Web Console\Restrict access to the web console.md,Restrict access to the web console.md
https://community.lansweeper.com/t5/customizing-the-web-console/secure-your-lansweeper-on-premises-setup/ta-p/75903,/docs/secure-your-lansweeper-on-premises-setup,Customizing The Web Console\Secure your Lansweeper On-premises setup.md,Secure your Lansweeper On-premises setup.md
https://community.lansweeper.com/t5/customizing-the-web-console/set-the-currency-format/ta-p/64344,/docs/set-the-currency-format,Customizing The Web Console\Set the currency format.md,Set the currency format.md
https://community.lansweeper.com/t5/customizing-the-web-console/set-the-date-format/ta-p/64306,/docs/set-the-date-format,Customizing The Web Console\Set the date format.md,Set the date format.md
https://community.lansweeper.com/t5/customizing-the-web-console/share-dashboard-tabs-with-other-users/ta-p/64314,/docs/share-dashboard-tabs-with-other-users,Customizing The Web Console\Share dashboard tabs with other users.md,Share dashboard tabs with other users.md
https://community.lansweeper.com/t5/customizing-the-web-console/web-console-user-roles-and-permissions/ta-p/64323,/docs/web-console-user-roles-and-permissions,Customizing The Web Console\Web console user roles and permissions.md,Web console user roles and permissions.md
https://community.lansweeper.com/t5/cyber-security-and-risk-insights/confidence-level/ta-p/68055,/docs/confidence-level,Cyber Security And Risk Insights\Confidence level.md,Confidence level.md
